time,a,b,c,d
3276887082,29242,29209,29269,29229
3276949582,29278,29180,21004,29176
3277012083,274,5834,3185,5847
3277074582,273,5763,21929,5793
3277137083,29249,29249,29269,29289
3277199583,29282,29183,11288,5852
3277262083,274,5837,6462,5764
3277324583,532,5785,28996,29319
3277387084,29249,29309,29268,29187
3277449583,25940,5860,7473,5854
3277512084,273,5758,21180,5784
3277574583,12463,5778,22936,5778
3277637084,16416,5777,21085,5779
3277699584,23613,5786,21390,5776
3277762085,25525,5788,21101,5779
3277824584,26354,5787,20928,5777
3277887085,26501,5784,20711,5779
3277949585,26384,5786,20573,5774
3278012085,25856,5788,20417,5775
3278074585,25387,5782,20268,5779
3278137086,24953,5783,20243,5778
3278199585,24579,5784,20131,5776
3278262086,24188,5781,19990,5774
3278324585,23662,5781,19903,5772
3278387085,23369,5778,19806,5774
3278449586,22928,5781,19720,5776
3278512086,22691,5783,19673,5776
3278574587,22450,5781,19553,5778
3278637086,22057,5784,19488,5779
3278699587,21885,5781,19525,5777
3278762087,21596,5777,19470,5772
3278824588,21496,5774,19369,5777
3278887088,21088,5779,19327,5777
3278949588,20975,5779,19311,5776
3279012088,20824,5777,19249,5775
3279074588,20506,5777,19179,5779
3279137089,20423,5775,19156,5782
3279199588,20173,5779,19146,5773
3279262088,20101,5779,19057,5777
3279324589,20188,5780,19111,5778
3279387089,20056,5778,19149,5776
3279449589,19985,5778,19114,5773
3279512088,19756,5773,19034,5773
3279574589,19680,5777,18990,5777
3279637089,19654,5778,19037,5777
3279699588,19669,5779,19092,5782
3279762088,19533,5778,19162,5774
3279824589,19388,5778,19035,5775
3279887089,19462,5783,19065,5779
3279949589,19404,5781,19038,5777
3280012089,19473,5779,19098,5776
3280074589,19451,5777,19130,5779
3280137089,19345,5780,19023,5776
3280199589,19187,5779,18956,5778
3280262089,19193,5778,18929,5777
3280324590,19027,5779,19047,5774
3280387090,19120,5777,19078,5778
3280449589,19223,5780,18994,5778
3280512089,19018,5778,18996,5773
3280574590,19330,5779,19061,5775
3280637090,19216,5777,19069,5778
3280699589,19104,5775,19039,5772
3280762089,19252,5776,19015,5772
3280824590,19257,5773,18942,5776
3280887091,19148,5777,19006,5777
3280949591,19157,5777,18958,5778
3281012092,19088,5778,18957,5773
3281074592,19104,5780,19001,5778
3281137092,19107,5780,18976,5779
3281199593,19017,5779,19056,5778
3281262094,18973,5780,19075,5777
3281324595,19153,5778,19052,5775
3281387095,15234,5758,17261,5771
3281449595,275,5748,10858,5761
3281512095,29218,29194,29234,29319
3281574595,29249,29202,26896,29178
3281637096,280,5834,1994,5838
3281699595,276,5757,15196,5781
3281762096,29239,29229,29269,29209
3281824596,29278,29177,17277,8047
3281887096,277,5827,2820,5752
3281949596,275,5765,23431,23879
3282012097,29269,29209,29259,29278
3282074597,29269,7429,7951,5851
3282137098,275,5748,7320,5768
3282199597,11727,25951,29249,29269
3282262097,29269,29280,28392,29185
3282324597,1727,5841,3250,5842
3282387097,273,5758,14347,5781
3282449597,29249,29229,29249,29249
3282512098,29277,29179,20272,29146
3282574598,273,5834,2915,5848
3282637099,273,5767,22260,5794
3282699599,29269,29249,29269,29319
3282762100,29283,29123,10335,5856
3282824601,274,5831,6766,5766
3282887100,1446,5865,29201,29309
3282949601,29249,29319,29239,29181
3283012100,19328,5845,4653,5845
3283074601,274,5756,12914,5778
3283137101,29239,29269,29269,29229
3283199601,29277,29180,23452,29177
3283262101,274,5832,3110,5849
3283324602,273,5760,20396,5796
3283387102,29269,29229,29264,29275
3283449602,29283,6833,13567,5864
3283512102,13784,5776,21436,5790
3283574603,26818,5792,23473,5783
3283637102,24422,5781,21371,5777
3283699602,26624,5790,21313,5777
3283762102,26488,5790,20961,5778
3283824603,26260,5788,20762,5777
3283887104,25594,5786,20555,5777
3283949603,25086,5784,20369,5781
3284012104,24380,5784,20173,5777
3284074604,23780,5783,20060,5779
3284137104,23385,5786,19975,5779
3284199605,22876,5779,19938,5780
3284262104,22456,5777,19835,5779
3284324604,21966,5779,19714,5778
3284387104,21764,5780,19627,5778
3284449605,21399,5780,19623,5779
3284512105,21205,5779,19569,5776
3284574604,20954,5779,19490,5776
3284637105,20631,5778,19411,5777
3284699604,20559,5782,19344,5778
3284762105,20368,5775,19307,5779
3284824606,20186,5776,19316,5776
3284887106,20107,5780,19273,5778
3284949606,19966,5780,19248,5775
3285012106,19785,5777,19136,5777
3285074607,19759,5781,19164,5777
3285137106,19784,5779,19176,5777
3285199607,19735,5778,18969,5775
3285262107,19509,5781,18962,5781
3285324608,19480,5775,19017,5779
3285387108,1174,5747,15250,5767
3285449608,12990,24634,25602,29199
3285512107,29260,29218,28345,29191
3285574608,277,5835,5922,5844
3285637108,277,5760,13054,5778
3285699608,29242,29329,29269,29209
3285762109,29277,29178,18299,5970
3285824608,276,5828,2247,5750
3285887108,275,5764,22611,23916
3285949609,29269,29209,29259,29273
3286012108,29272,6791,8228,5854
3286074608,276,5748,6740,5769
3286137109,11879,26136,29245,29309
3286199609,29259,29283,28420,29190
3286262110,1598,5839,3170,5847
3286324610,275,5757,13769,5783
3286387111,29239,29249,29269,29229
3286449610,29276,29179,20420,29136
3286512111,275,5837,2549,5847
3286574612,274,5762,21651,5794
3286637111,29269,29249,29269,29337
3286699611,29287,29142,10436,5856
3286762111,275,5834,6117,5765
3286824612,1260,5794,29128,29339
3286887112,29249,29309,29248,29180
3286949612,20182,5843,4623,5845
3287012111,275,5756,12416,5779
3287074611,29245,29309,29269,29229
3287137112,29275,29180,23690,29178
3287199612,277,5833,2973,5847
3287262111,274,5766,19992,5795
3287324611,29269,29249,29249,29249
3287387111,29284,29189,13641,5859
3287449612,273,5834,14735,5780
3287512112,6339,5769,24123,5786
3287574612,14154,5770,21220,5783
3287637113,21092,5785,21419,5779
3287699614,24865,5788,21156,5777
3287762113,26046,5789,20795,5777
3287824614,26441,5787,20722,5779
3287887114,26123,5788,20655,5780
3287949613,25901,5791,20333,5779
3288012114,25398,5784,20207,5777
3288074615,24684,5785,20151,5779
3288137116,24356,5782,20090,5779
3288199615,24015,5787,19955,5778
3288262116,23612,5781,19793,5777
3288324616,23253,5784,19660,5779
