=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.02 17:40:07 =~=~=~=~=~=~=~=~=~=~=~=
= RX Location: 3 inches away from the center of the TX (along the Z)
= Tone Frequency: 6Hz
= Baud Rate: 1 S/s
= Bit Rate: 0.5 b/s
= Sampling Frequency: 16Hz
= Encoding: Differential Manchester
=     0: Two state Changes
=     1: One State Change
=     The Two States are TONE and NO_TONE
= Columns(7):
=     sample_num: Chronological Index of Samples
=     x: Reading From the sensor on the X axis
=     y: Reading From the sensor on the Y axis
=     bit_num: Chronological Index of the Bits Sent
=     bit: The Bit Sent, 1 or 0
=     sym_num: Chronological Index of the Symbol
=     sym: The Actual Symbol, TONE(1) or NO_TONE(0)
=~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~
sample_num,x,y,bit_num,bit,sym_num,sym
182,-46,37,2,1,5,0
183,-49,36,2,1,5,0
184,-42,32,2,1,5,0
185,-49,36,2,1,5,0
186,-43,36,2,1,5,0
187,-49,39,2,1,5,0
188,-38,36,2,1,5,0
189,-47,40,2,1,5,0
190,-45,44,2,1,5,0
191,-45,42,2,1,5,0
192,-146,46,3,0,6,1
193,-148,46,3,0,6,1
194,-53,39,3,0,6,1
195,-47,38,3,0,6,1
196,-47,39,3,0,6,1
197,-152,49,3,0,6,1
198,-146,47,3,0,6,1
199,-149,49,3,0,6,1
200,-51,35,3,0,6,1
201,-50,41,3,0,6,1
202,-48,36,3,0,6,1
203,-147,49,3,0,6,1
204,-148,46,3,0,6,1
205,-46,35,3,0,6,1
206,-45,41,3,0,6,1
207,-44,37,3,0,6,1
208,-144,44,3,0,6,1
209,-144,51,3,0,6,1
210,-147,50,3,0,6,1
211,-46,41,3,0,6,1
212,-52,39,3,0,6,1
213,-136,47,3,0,6,1
214,-145,44,3,0,6,1
215,-141,50,3,0,6,1
216,-43,38,3,0,6,1
217,-45,38,3,0,6,1
218,-45,43,3,0,6,1
219,-145,46,3,0,6,1
220,-148,49,3,0,6,1
221,-54,40,3,0,6,1
222,-49,42,3,0,6,1
223,-48,40,3,0,6,1
224,-45,45,3,0,7,0
225,-47,39,3,0,7,0
226,-46,40,3,0,7,0
227,-48,40,3,0,7,0
228,-47,41,3,0,7,0
229,-47,41,3,0,7,0
230,-47,36,3,0,7,0
231,-45,41,3,0,7,0
232,-50,42,3,0,7,0
233,-43,45,3,0,7,0
234,-46,37,3,0,7,0
235,-46,41,3,0,7,0
236,-47,33,3,0,7,0
237,-46,40,3,0,7,0
238,-42,42,3,0,7,0
239,-47,41,3,0,7,0
240,-45,38,3,0,7,0
241,-47,34,3,0,7,0
242,-44,39,3,0,7,0
243,-40,36,3,0,7,0
244,-45,37,3,0,7,0
245,-41,37,3,0,7,0
246,-48,39,3,0,7,0
247,-46,38,3,0,7,0
248,-47,38,3,0,7,0
249,-44,40,3,0,7,0
250,-42,42,3,0,7,0
251,-49,42,3,0,7,0
252,-42,37,3,0,7,0
253,-45,41,3,0,7,0
254,-47,40,3,0,7,0
255,-47,38,3,0,7,0
256,-44,43,4,1,8,0
257,-44,40,4,1,8,0
258,-48,40,4,1,8,0
259,-45,38,4,1,8,0
260,-45,40,4,1,8,0
261,-48,41,4,1,8,0
262,-45,43,4,1,8,0
263,-45,41,4,1,8,0
264,-45,41,4,1,8,0
265,-46,42,4,1,8,0
266,-45,41,4,1,8,0
267,-45,42,4,1,8,0
268,-44,43,4,1,8,0
269,-44,41,4,1,8,0
270,-45,42,4,1,8,0
271,-45,42,4,1,8,0
272,-43,37,4,1,8,0
273,-45,43,4,1,8,0
274,-47,40,4,1,8,0
275,-42,36,4,1,8,0
276,-50,36,4,1,8,0
277,-45,38,4,1,8,0
278,-52,38,4,1,8,0
279,-46,42,4,1,8,0
280,-46,35,4,1,8,0
281,-38,41,4,1,8,0
282,-46,35,4,1,8,0
283,-45,38,4,1,8,0
284,-40,38,4,1,8,0
285,-44,40,4,1,8,0
286,-47,37,4,1,8,0
287,-46,41,4,1,8,0
288,-145,47,4,1,9,1
289,-147,44,4,1,9,1
290,-148,48,4,1,9,1
291,-43,34,4,1,9,1
292,-49,40,4,1,9,1
293,-47,38,4,1,9,1
294,-146,47,4,1,9,1
295,-149,44,4,1,9,1
296,-40,42,4,1,9,1
297,-36,41,4,1,9,1
298,-36,43,4,1,9,1
299,-146,43,4,1,9,1
300,-147,46,4,1,9,1
301,-147,47,4,1,9,1
302,-46,37,4,1,9,1
303,-45,38,4,1,9,1
304,-141,46,4,1,9,1
305,-146,48,4,1,9,1
306,-147,47,4,1,9,1
307,-46,38,4,1,9,1
308,-46,39,4,1,9,1
309,-45,41,4,1,9,1
310,-148,44,4,1,9,1
311,-151,49,4,1,9,1
312,-43,39,4,1,9,1
313,-48,37,4,1,9,1
314,-40,39,4,1,9,1
315,-147,48,4,1,9,1
316,-148,45,4,1,9,1
317,-147,45,4,1,9,1
318,-44,38,4,1,9,1
319,-44,42,4,1,9,1
320,-43,37,5,0,10,0
321,-43,38,5,0,10,0
322,-43,38,5,0,10,0
323,-43,38,5,0,10,0
324,-43,33,5,0,10,0
325,-42,35,5,0,10,0
326,-44,41,5,0,10,0
327,-42,40,5,0,10,0
328,-41,37,5,0,10,0
329,-42,35,5,0,10,0
330,-42,36,5,0,10,0
331,-41,40,5,0,10,0
332,-38,36,5,0,10,0
333,-42,38,5,0,10,0
334,-42,34,5,0,10,0
335,-42,36,5,0,10,0
336,-43,38,5,0,10,0
337,-49,37,5,0,10,0
338,-47,37,5,0,10,0
339,-47,45,5,0,10,0
340,-47,38,5,0,10,0
341,-37,36,5,0,10,0
342,-45,40,5,0,10,0
343,-44,41,5,0,10,0
344,-47,36,5,0,10,0
345,-40,41,5,0,10,0
346,-46,39,5,0,10,0
347,-43,41,5,0,10,0
348,-48,37,5,0,10,0
349,-47,38,5,0,10,0
350,-41,42,5,0,10,0
351,-47,37,5,0,10,0
352,-148,47,5,0,11,1
353,-148,47,5,0,11,1
354,-53,34,5,0,11,1
355,-50,35,5,0,11,1
356,-48,39,5,0,11,1
357,-148,48,5,0,11,1
358,-146,44,5,0,11,1
359,-148,47,5,0,11,1
360,-44,42,5,0,11,1
361,-47,40,5,0,11,1
362,-145,46,5,0,11,1
363,-144,44,5,0,11,1
364,-145,47,5,0,11,1
365,-49,39,5,0,11,1
366,-45,40,5,0,11,1
367,-48,41,5,0,11,1
368,-144,47,5,0,11,1
369,-146,46,5,0,11,1
370,-45,39,5,0,11,1
371,-43,40,5,0,11,1
372,-37,44,5,0,11,1
373,-141,49,5,0,11,1
374,-145,47,5,0,11,1
375,-145,50,5,0,11,1
376,-48,39,5,0,11,1
377,-49,35,5,0,11,1
378,-48,40,5,0,11,1
379,-142,47,5,0,11,1
380,-145,48,5,0,11,1
381,-44,44,5,0,11,1
382,-51,43,5,0,11,1
383,-46,40,5,0,11,1
384,-47,40,6,0,12,0
385,-48,40,6,0,12,0
386,-44,40,6,0,12,0
387,-41,38,6,0,12,0
388,-46,40,6,0,12,0
389,-44,42,6,0,12,0
390,-44,39,6,0,12,0
391,-43,40,6,0,12,0
392,-46,41,6,0,12,0
393,-44,39,6,0,12,0
394,-44,38,6,0,12,0
395,-46,41,6,0,12,0
396,-45,39,6,0,12,0
397,-44,41,6,0,12,0
398,-45,44,6,0,12,0
399,-40,39,6,0,12,0
400,-39,37,6,0,12,0
401,-47,43,6,0,12,0
402,-43,39,6,0,12,0
403,-42,42,6,0,12,0
404,-38,38,6,0,12,0
405,-49,41,6,0,12,0
406,-42,37,6,0,12,0
407,-41,40,6,0,12,0
408,-46,37,6,0,12,0
409,-47,40,6,0,12,0
410,-44,38,6,0,12,0
411,-42,41,6,0,12,0
412,-47,39,6,0,12,0
413,-45,42,6,0,12,0
414,-46,40,6,0,12,0
415,-40,33,6,0,12,0
